Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.0
Loan Term (months),288
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,288
Total Mortgage Interest,481666.67
Extraction Timestamp,20250727_182606
Monthly Income,"12,000.00"
Total Investment Amount,"1,974,333.33"
Total Investment Final Value,"4,796,545.14"
Total Investment Profit After Tax,"1,500,536.56"
Effective Annual Return After Tax,3.29%
Weighted Monthly Payment (30 years),"6,337.15"
Weighted Cost (should be ~0),-0.07
Weighted Investment Profit,"481,666.60"
Weighted Calculation Converged,Yes
