Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.0
Loan Term (months),252
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,252
Total Mortgage Interest,470024.08
Extraction Timestamp,20250727_190221
Monthly Income,"12,000.00"
Total Investment Amount,"1,377,936.93"
Total Investment Final Value,"3,018,045.71"
Total Investment Profit After Tax,"854,134.97"
Effective Annual Return After Tax,3.32%
Weighted Monthly Payment (30 years),"7,414.57"
Weighted Cost (should be ~0),-0.95
Weighted Investment Profit,"646,062.12"
Weighted Calculation Converged,Yes
