Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.0
Loan Term (months),240
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,358858.93
Extraction Timestamp,20250727_185838
Monthly Income,"12,000.00"
Total Investment Amount,"1,222,713.69"
Total Investment Final Value,"2,684,932.55"
Total Investment Profit After Tax,"758,784.56"
Effective Annual Return After Tax,3.50%
Weighted Monthly Payment (30 years),"7,401.28"
Weighted Cost (should be ~0),-0.66
Weighted Investment Profit,"657,285.65"
Weighted Calculation Converged,Yes
