Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.75
Loan Term (months),252
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,252
Total Mortgage Interest,424725.42
Extraction Timestamp,20250727_192112
Monthly Income,"12,000.00"
Total Investment Amount,"1,486,108.77"
Total Investment Final Value,"3,240,322.79"
Total Investment Profit After Tax,"912,975.27"
Effective Annual Return After Tax,3.30%
Weighted Monthly Payment (30 years),"6,901.44"
Weighted Cost (should be ~0),-0.36
Weighted Investment Profit,"537,890.87"
Weighted Calculation Converged,Yes
