Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.25
Loan Term (months),360
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,772390.55
Extraction Timestamp,20250727_183033
Monthly Income,"12,000.00"
Total Investment Amount,"2,220,969.30"
Total Investment Final Value,"7,292,586.94"
Total Investment Profit After Tax,"2,831,187.25"
Effective Annual Return After Tax,3.56%
Weighted Monthly Payment (30 years),"7,793.09"
Weighted Cost (should be ~0),-0.79
Weighted Investment Profit,"1,099,029.91"
Weighted Calculation Converged,Yes
