Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.5
Loan Term (months),120
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,120
Total Mortgage Interest,271397.81
Extraction Timestamp,20250729_014817
Monthly Income,"12,000.00"
Total Investment Amount,"48,384.39"
Total Investment Final Value,"87,269.34"
Total Investment Profit After Tax,"18,902.50"
Effective Annual Return After Tax,5.28%
Weighted Monthly Payment (30 years),"8,981.86"
Weighted Cost (should be ~0),0.20
Weighted Investment Profit,"451,878.67"
Weighted Calculation Converged,Yes
