Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.5
Loan Term (months),264
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,264
Total Mortgage Interest,348764.23
Extraction Timestamp,20250727_155038
Monthly Income,"12,000.00"
Total Investment Amount,"1,401,762.37"
Total Investment Final Value,"3,453,029.83"
Total Investment Profit After Tax,"1,084,374.17"
Effective Annual Return After Tax,3.66%
Weighted Monthly Payment (30 years),"7,341.64"
Weighted Cost (should be ~0),-0.07
Weighted Investment Profit,"766,237.56"
Weighted Calculation Converged,Yes
