Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.0
Loan Term (months),240
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,668874.30
Extraction Timestamp,20250727_200053
Monthly Income,"12,000.00"
Total Investment Amount,"677,804.00"
Total Investment Final Value,"1,547,979.36"
Total Investment Profit After Tax,"453,691.04"
Effective Annual Return After Tax,3.68%
Weighted Monthly Payment (30 years),"10,222.00"
Weighted Cost (should be ~0),0.18
Weighted Investment Profit,"1,202,196.18"
Weighted Calculation Converged,Yes
