Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.75
Loan Term (months),108
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,108
Total Mortgage Interest,132881.02
Extraction Timestamp,20250727_190715
Monthly Income,"12,000.00"
Total Investment Amount,"66,639.03"
Total Investment Final Value,"89,424.31"
Total Investment Profit After Tax,"10,686.26"
Effective Annual Return After Tax,2.86%
Weighted Monthly Payment (30 years),"7,911.34"
Weighted Cost (should be ~0),-0.02
Weighted Investment Profit,"229,360.95"
Weighted Calculation Converged,Yes
