Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.25
Loan Term (months),312
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,312
Total Mortgage Interest,718221.25
Extraction Timestamp,20250727_194406
Monthly Income,"12,000.00"
Total Investment Amount,"1,553,699.20"
Total Investment Final Value,"4,424,356.62"
Total Investment Profit After Tax,"1,561,790.42"
Effective Annual Return After Tax,3.61%
Weighted Monthly Payment (30 years),"8,723.52"
Weighted Cost (should be ~0),0.02
Weighted Investment Profit,"1,190,300.82"
Weighted Calculation Converged,Yes
