Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),5.5
Loan Term (months),312
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,312
Total Mortgage Interest,798586.79
Extraction Timestamp,20250727_194520
Monthly Income,"12,000.00"
Total Investment Amount,"1,771,350.15"
Total Investment Final Value,"4,610,566.91"
Total Investment Profit After Tax,"1,531,082.11"
Effective Annual Return After Tax,3.28%
Weighted Monthly Payment (30 years),"8,345.77"
Weighted Cost (should be ~0),0.73
Weighted Investment Profit,"972,650.57"
Weighted Calculation Converged,Yes
