Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.0
Loan Term (months),360
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,982503.14
Extraction Timestamp,20250727_181240
Monthly Income,"12,000.00"
Total Investment Amount,"1,847,266.61"
Total Investment Final Value,"6,143,424.20"
Total Investment Profit After Tax,"2,402,324.31"
Effective Annual Return After Tax,3.60%
Weighted Monthly Payment (30 years),"9,251.72"
Weighted Cost (should be ~0),-0.00
Weighted Investment Profit,"1,472,733.39"
Weighted Calculation Converged,Yes
