Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),4.75
Loan Term (months),180
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,משתנה לא צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,358229.17
Extraction Timestamp,20250727_180359
Monthly Income,"12,000.00"
Total Investment Amount,"801,770.83"
Total Investment Final Value,"1,311,938.20"
Total Investment Profit After Tax,"251,084.68"
Effective Annual Return After Tax,2.88%
Weighted Monthly Payment (30 years),"7,331.67"
Weighted Cost (should be ~0),0.86
Weighted Investment Profit,"358,230.02"
Weighted Calculation Converged,Yes
