Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.0
Loan Term (months),360
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,360
Total Mortgage Interest,883231.15
Extraction Timestamp,20250729_025630
Monthly Income,"12,000.00"
Total Investment Amount,"2,039,910.12"
Total Investment Final Value,"7,620,908.93"
Total Investment Profit After Tax,"3,143,097.63"
Effective Annual Return After Tax,3.98%
Weighted Monthly Payment (30 years),"7,499.00"
Weighted Cost (should be ~0),-0.55
Weighted Investment Profit,"1,280,089.33"
Weighted Calculation Converged,Yes
