Parameter,Value
Loan Type,קבועה לא צמודה
Interest Rate (%),2.5
Loan Term (months),120
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,קבועה לא צמודה
Amortization Method,קרן שווה
Total Monthly Payments,120
Total Mortgage Interest,126041.67
Extraction Timestamp,20250727_192800
Monthly Income,"12,000.00"
Total Investment Amount,"313,958.33"
Total Investment Final Value,"434,561.69"
Total Investment Profit After Tax,"56,988.16"
Effective Annual Return After Tax,2.84%
Weighted Monthly Payment (30 years),"6,910.79"
Weighted Cost (should be ~0),-0.47
Weighted Investment Profit,"126,041.20"
Weighted Calculation Converged,Yes
