Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),2.25
Loan Term (months),300
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,משתנה לא צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,282187.50
Extraction Timestamp,20250727_195531
Monthly Income,"12,000.00"
Total Investment Amount,"2,317,812.50"
Total Investment Final Value,"6,083,523.71"
Total Investment Profit After Tax,"2,024,614.29"
Effective Annual Return After Tax,3.45%
Weighted Monthly Payment (30 years),"4,977.12"
Weighted Cost (should be ~0),-0.20
Weighted Investment Profit,"282,187.30"
Weighted Calculation Converged,Yes
