Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.0
Loan Term (months),168
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,168
Total Mortgage Interest,161418.72
Extraction Timestamp,20250727_174145
Monthly Income,"12,000.00"
Total Investment Amount,"629,121.16"
Total Investment Final Value,"1,097,392.91"
Total Investment Profit After Tax,"231,425.35"
Effective Annual Return After Tax,3.51%
Weighted Monthly Payment (30 years),"7,290.72"
Weighted Cost (should be ~0),-0.56
Weighted Investment Profit,"386,878.29"
Weighted Calculation Converged,Yes
