Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.75
Loan Term (months),192
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,192
Total Mortgage Interest,352619.40
Extraction Timestamp,20250727_154740
Monthly Income,"12,000.00"
Total Investment Amount,"688,704.35"
Total Investment Final Value,"1,267,042.41"
Total Investment Profit After Tax,"290,045.52"
Effective Annual Return After Tax,3.37%
Weighted Monthly Payment (30 years),"8,198.24"
Weighted Cost (should be ~0),-0.07
Weighted Investment Profit,"615,295.58"
Weighted Calculation Converged,Yes
