Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),5.75
Loan Term (months),192
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,192
Total Mortgage Interest,540683.09
Extraction Timestamp,20250727_230655
Monthly Income,"12,000.00"
Total Investment Amount,"500,640.67"
Total Investment Final Value,"867,772.53"
Total Investment Profit After Tax,"182,984.69"
Effective Annual Return After Tax,3.03%
Weighted Monthly Payment (30 years),"9,480.78"
Weighted Cost (should be ~0),0.35
Weighted Investment Profit,"803,359.68"
Weighted Calculation Converged,Yes
