Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.5
Loan Term (months),324
Inflation Rate (%),2.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,324
Total Mortgage Interest,584186.81
Extraction Timestamp,20250727_161456
Monthly Income,"12,000.00"
Total Investment Amount,"1,937,282.02"
Total Investment Final Value,"5,715,111.93"
Total Investment Profit After Tax,"2,068,275.37"
Effective Annual Return After Tax,3.59%
Weighted Monthly Payment (30 years),"7,472.66"
Weighted Cost (should be ~0),-0.90
Weighted Investment Profit,"950,717.08"
Weighted Calculation Converged,Yes
