Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.75
Loan Term (months),300
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,742811.98
Extraction Timestamp,20250727_190815
Monthly Income,"12,000.00"
Total Investment Amount,"1,467,047.14"
Total Investment Final Value,"3,885,800.80"
Total Investment Profit After Tax,"1,302,852.71"
Effective Annual Return After Tax,3.48%
Weighted Monthly Payment (30 years),"8,860.66"
Weighted Cost (should be ~0),-0.57
Weighted Investment Profit,"1,132,952.28"
Weighted Calculation Converged,Yes
