Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.5
Loan Term (months),276
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,276
Total Mortgage Interest,693069.80
Extraction Timestamp,20250727_194216
Monthly Income,"12,000.00"
Total Investment Amount,"1,081,443.57"
Total Investment Final Value,"2,771,633.16"
Total Investment Profit After Tax,"900,984.95"
Effective Annual Return After Tax,3.66%
Weighted Monthly Payment (30 years),"9,532.20"
Weighted Cost (should be ~0),0.22
Weighted Investment Profit,"1,230,556.65"
Weighted Calculation Converged,Yes
