Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.0
Loan Term (months),132
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,132
Total Mortgage Interest,187908.75
Extraction Timestamp,20250727_195017
Monthly Income,"12,000.00"
Total Investment Amount,"196,188.33"
Total Investment Final Value,"305,032.35"
Total Investment Profit After Tax,"52,426.09"
Effective Annual Return After Tax,3.54%
Weighted Monthly Payment (30 years),"8,296.71"
Weighted Cost (should be ~0),0.29
Weighted Investment Profit,"387,811.95"
Weighted Calculation Converged,Yes
