Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.25
Loan Term (months),324
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,324
Total Mortgage Interest,415785.58
Extraction Timestamp,20250727_173613
Monthly Income,"12,000.00"
Total Investment Amount,"1,882,447.65"
Total Investment Final Value,"5,938,457.85"
Total Investment Profit After Tax,"2,231,679.32"
Effective Annual Return After Tax,3.83%
Weighted Monthly Payment (30 years),"7,187.96"
Weighted Cost (should be ~0),-0.16
Weighted Investment Profit,"1,005,552.19"
Weighted Calculation Converged,Yes
