Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),3.75
Loan Term (months),156
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,156
Total Mortgage Interest,283638.90
Extraction Timestamp,20250727_162201
Monthly Income,"12,000.00"
Total Investment Amount,"346,966.29"
Total Investment Final Value,"571,031.36"
Total Investment Profit After Tax,"109,617.44"
Effective Annual Return After Tax,3.38%
Weighted Monthly Payment (30 years),"8,558.45"
Weighted Cost (should be ~0),0.73
Weighted Investment Profit,"525,034.44"
Weighted Calculation Converged,Yes
