Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.25
Loan Term (months),132
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,132
Total Mortgage Interest,186995.04
Extraction Timestamp,20250727_151722
Monthly Income,"12,000.00"
Total Investment Amount,"339,515.93"
Total Investment Final Value,"489,263.51"
Total Investment Profit After Tax,"71,441.89"
Effective Annual Return After Tax,2.91%
Weighted Monthly Payment (30 years),"7,445.34"
Weighted Cost (should be ~0),0.22
Weighted Investment Profit,"244,484.29"
Weighted Calculation Converged,Yes
