Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),5.5
Loan Term (months),336
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,336
Total Mortgage Interest,1102407.42
Extraction Timestamp,20250727_172147
Monthly Income,"12,000.00"
Total Investment Amount,"1,230,100.77"
Total Investment Final Value,"3,954,853.69"
Total Investment Profit After Tax,"1,510,121.98"
Effective Annual Return After Tax,3.75%
Weighted Monthly Payment (30 years),"10,855.90"
Weighted Cost (should be ~0),0.55
Weighted Investment Profit,"1,801,899.78"
Weighted Calculation Converged,Yes
