Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.25
Loan Term (months),300
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,361844.46
Extraction Timestamp,20250727_162856
Monthly Income,"12,000.00"
Total Investment Amount,"1,788,908.46"
Total Investment Final Value,"5,034,373.41"
Total Investment Profit After Tax,"1,756,031.98"
Effective Annual Return After Tax,3.71%
Weighted Monthly Payment (30 years),"6,884.99"
Weighted Cost (should be ~0),0.13
Weighted Investment Profit,"811,091.68"
Weighted Calculation Converged,Yes
