Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.25
Loan Term (months),120
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,120
Total Mortgage Interest,130467.69
Extraction Timestamp,20250727_183046
Monthly Income,"12,000.00"
Total Investment Amount,"84,057.37"
Total Investment Final Value,"142,076.76"
Total Investment Profit After Tax,"27,978.76"
Effective Annual Return After Tax,4.68%
Weighted Monthly Payment (30 years),"8,398.72"
Weighted Cost (should be ~0),-0.28
Weighted Investment Profit,"361,639.38"
Weighted Calculation Converged,Yes
