Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.25
Loan Term (months),288
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,288
Total Mortgage Interest,565004.66
Extraction Timestamp,20250727_173700
Monthly Income,"12,000.00"
Total Investment Amount,"1,731,623.99"
Total Investment Final Value,"4,267,431.79"
Total Investment Profit After Tax,"1,350,816.81"
Effective Annual Return After Tax,3.35%
Weighted Monthly Payment (30 years),"7,336.48"
Weighted Cost (should be ~0),-0.20
Weighted Investment Profit,"724,375.81"
Weighted Calculation Converged,Yes
