Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.0
Loan Term (months),312
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,312
Total Mortgage Interest,597100.31
Extraction Timestamp,20250727_190526
Monthly Income,"12,000.00"
Total Investment Amount,"1,923,266.61"
Total Investment Final Value,"5,244,772.95"
Total Investment Profit After Tax,"1,799,242.42"
Effective Annual Return After Tax,3.45%
Weighted Monthly Payment (30 years),"7,335.17"
Weighted Cost (should be ~0),-0.87
Weighted Investment Profit,"820,732.52"
Weighted Calculation Converged,Yes
