Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.75
Loan Term (months),312
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,312
Total Mortgage Interest,513615.59
Extraction Timestamp,20250727_155328
Monthly Income,"12,000.00"
Total Investment Amount,"1,522,901.40"
Total Investment Final Value,"4,732,143.77"
Total Investment Profit After Tax,"1,756,774.79"
Effective Annual Return After Tax,3.93%
Weighted Monthly Payment (30 years),"8,281.48"
Weighted Cost (should be ~0),0.80
Weighted Investment Profit,"1,221,099.39"
Weighted Calculation Converged,Yes
