Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.25
Loan Term (months),300
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,464067.14
Extraction Timestamp,20250727_161133
Monthly Income,"12,000.00"
Total Investment Amount,"1,922,015.43"
Total Investment Final Value,"5,093,033.92"
Total Investment Profit After Tax,"1,706,974.23"
Effective Annual Return After Tax,3.48%
Weighted Monthly Payment (30 years),"6,728.93"
Weighted Cost (should be ~0),-0.04
Weighted Investment Profit,"677,984.53"
Weighted Calculation Converged,Yes
