Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.0
Loan Term (months),276
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,276
Total Mortgage Interest,253778.89
Extraction Timestamp,20250727_152204
Monthly Income,"12,000.00"
Total Investment Amount,"1,906,105.89"
Total Investment Final Value,"4,695,501.04"
Total Investment Profit After Tax,"1,480,242.22"
Effective Annual Return After Tax,3.50%
Weighted Monthly Payment (30 years),"5,627.21"
Weighted Cost (should be ~0),0.12
Weighted Investment Profit,"405,894.23"
Weighted Calculation Converged,Yes
