Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),3.0
Loan Term (months),324
Inflation Rate (%),2.2
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,324
Total Mortgage Interest,500731.55
Extraction Timestamp,20250727_184416
Monthly Income,"12,000.00"
Total Investment Amount,"2,020,737.28"
Total Investment Final Value,"6,018,841.21"
Total Investment Profit After Tax,"2,190,372.58"
Effective Annual Return After Tax,3.63%
Weighted Monthly Payment (30 years),"7,013.92"
Weighted Cost (should be ~0),-0.59
Weighted Investment Profit,"867,262.13"
Weighted Calculation Converged,Yes
