Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.0
Loan Term (months),240
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,436099.66
Extraction Timestamp,20250727_184225
Monthly Income,"12,000.00"
Total Investment Amount,"1,313,201.14"
Total Investment Final Value,"2,739,339.67"
Total Investment Profit After Tax,"736,101.76"
Effective Annual Return After Tax,3.26%
Weighted Monthly Payment (30 years),"7,242.15"
Weighted Cost (should be ~0),-0.87
Weighted Investment Profit,"566,797.99"
Weighted Calculation Converged,Yes
