Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.0
Loan Term (months),252
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,252
Total Mortgage Interest,365961.07
Extraction Timestamp,20250727_182131
Monthly Income,"12,000.00"
Total Investment Amount,"1,414,470.83"
Total Investment Final Value,"3,198,220.71"
Total Investment Profit After Tax,"931,899.92"
Effective Annual Return After Tax,3.46%
Weighted Monthly Payment (30 years),"7,020.50"
Weighted Cost (should be ~0),0.70
Weighted Investment Profit,"609,529.87"
Weighted Calculation Converged,Yes
