Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.5
Loan Term (months),132
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,132
Total Mortgage Interest,156590.62
Extraction Timestamp,20250727_160155
Monthly Income,"12,000.00"
Total Investment Amount,"227,506.46"
Total Investment Final Value,"357,448.91"
Total Investment Profit After Tax,"62,642.27"
Effective Annual Return After Tax,3.62%
Weighted Monthly Payment (30 years),"8,056.45"
Weighted Cost (should be ~0),-0.79
Weighted Investment Profit,"356,492.76"
Weighted Calculation Converged,Yes
