Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.5
Loan Term (months),168
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,168
Total Mortgage Interest,288243.06
Extraction Timestamp,20250727_175954
Monthly Income,"12,000.00"
Total Investment Amount,"464,921.33"
Total Investment Final Value,"801,919.77"
Total Investment Profit After Tax,"166,415.54"
Effective Annual Return After Tax,3.44%
Weighted Monthly Payment (30 years),"8,373.11"
Weighted Cost (should be ~0),0.39
Weighted Investment Profit,"551,079.06"
Weighted Calculation Converged,Yes
