Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.25
Loan Term (months),312
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,312
Total Mortgage Interest,352008.09
Extraction Timestamp,20250727_153345
Monthly Income,"12,000.00"
Total Investment Amount,"2,079,616.45"
Total Investment Final Value,"5,952,875.07"
Total Investment Profit After Tax,"2,106,766.35"
Effective Annual Return After Tax,3.63%
Weighted Monthly Payment (30 years),"6,212.77"
Weighted Cost (should be ~0),-0.39
Weighted Investment Profit,"664,383.16"
Weighted Calculation Converged,Yes
