Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),6.0
Loan Term (months),144
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,144
Total Mortgage Interest,414391.48
Extraction Timestamp,20250727_225041
Monthly Income,"12,000.00"
Total Investment Amount,"93,187.52"
Total Investment Final Value,"120,167.94"
Total Investment Profit After Tax,"12,627.45"
Effective Annual Return After Tax,1.84%
Weighted Monthly Payment (30 years),"9,762.31"
Weighted Cost (should be ~0),0.42
Weighted Investment Profit,"634,812.90"
Weighted Calculation Converged,Yes
