Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),4.0
Loan Term (months),240
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,משתנה לא צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,401666.67
Extraction Timestamp,20250727_182318
Monthly Income,"12,000.00"
Total Investment Amount,"1,478,333.33"
Total Investment Final Value,"3,030,619.05"
Total Investment Profit After Tax,"799,362.19"
Effective Annual Return After Tax,3.18%
Weighted Monthly Payment (30 years),"6,551.05"
Weighted Cost (should be ~0),0.11
Weighted Investment Profit,"401,666.77"
Weighted Calculation Converged,Yes
