Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),2.0
Loan Term (months),180
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,משתנה לא צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,150833.33
Extraction Timestamp,20250727_192828
Monthly Income,"12,000.00"
Total Investment Amount,"1,009,166.67"
Total Investment Final Value,"1,741,877.91"
Total Investment Profit After Tax,"363,197.26"
Effective Annual Return After Tax,3.21%
Weighted Monthly Payment (30 years),"5,839.71"
Weighted Cost (should be ~0),0.96
Weighted Investment Profit,"150,834.29"
Weighted Calculation Converged,Yes
