Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.75
Loan Term (months),348
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,348
Total Mortgage Interest,490327.64
Extraction Timestamp,20250727_192206
Monthly Income,"12,000.00"
Total Investment Amount,"2,329,663.79"
Total Investment Final Value,"7,593,585.72"
Total Investment Profit After Tax,"2,925,907.17"
Effective Annual Return After Tax,3.67%
Weighted Monthly Payment (30 years),"6,559.28"
Weighted Cost (should be ~0),-0.84
Weighted Investment Profit,"846,335.37"
Weighted Calculation Converged,Yes
