Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.5
Loan Term (months),180
Inflation Rate (%),2.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,380431.36
Extraction Timestamp,20250727_180121
Monthly Income,"12,000.00"
Total Investment Amount,"593,920.33"
Total Investment Final Value,"1,010,281.09"
Total Investment Profit After Tax,"206,136.06"
Effective Annual Return After Tax,3.12%
Weighted Monthly Payment (30 years),"8,337.05"
Weighted Cost (should be ~0),-0.99
Weighted Investment Profit,"566,078.68"
Weighted Calculation Converged,Yes
