Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),6.0
Loan Term (months),168
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,168
Total Mortgage Interest,477035.00
Extraction Timestamp,20250727_191742
Monthly Income,"12,000.00"
Total Investment Amount,"340,613.65"
Total Investment Final Value,"523,626.43"
Total Investment Profit After Tax,"89,092.82"
Effective Annual Return After Tax,2.69%
Weighted Monthly Payment (30 years),"9,396.07"
Weighted Cost (should be ~0),-0.12
Weighted Investment Profit,"675,386.23"
Weighted Calculation Converged,Yes
