Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.25
Loan Term (months),300
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,717292.00
Extraction Timestamp,20250728_103910
Monthly Income,"12,000.00"
Total Investment Amount,"1,746,194.71"
Total Investment Final Value,"4,363,978.74"
Total Investment Profit After Tax,"1,401,091.60"
Effective Annual Return After Tax,3.26%
Weighted Monthly Payment (30 years),"7,968.92"
Weighted Cost (should be ~0),-0.66
Weighted Investment Profit,"853,804.63"
Weighted Calculation Converged,Yes
