Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.25
Loan Term (months),156
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,156
Total Mortgage Interest,170183.34
Extraction Timestamp,20250727_172636
Monthly Income,"12,000.00"
Total Investment Amount,"460,421.85"
Total Investment Final Value,"779,534.51"
Total Investment Profit After Tax,"156,503.82"
Effective Annual Return After Tax,3.58%
Weighted Monthly Payment (30 years),"7,736.96"
Weighted Cost (should be ~0),-0.70
Weighted Investment Profit,"411,577.44"
Weighted Calculation Converged,Yes
