Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.25
Loan Term (months),312
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,312
Total Mortgage Interest,588808.17
Extraction Timestamp,20250727_192244
Monthly Income,"12,000.00"
Total Investment Amount,"1,522,934.81"
Total Investment Final Value,"4,604,515.88"
Total Investment Profit After Tax,"1,683,975.41"
Effective Annual Return After Tax,3.83%
Weighted Monthly Payment (30 years),"8,470.34"
Weighted Cost (should be ~0),0.48
Weighted Investment Profit,"1,221,065.67"
Weighted Calculation Converged,Yes
