Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),6.0
Loan Term (months),288
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,288
Total Mortgage Interest,892624.93
Extraction Timestamp,20250727_192509
Monthly Income,"12,000.00"
Total Investment Amount,"1,192,221.26"
Total Investment Final Value,"2,906,886.05"
Total Investment Profit After Tax,"913,509.23"
Effective Annual Return After Tax,3.31%
Weighted Monthly Payment (30 years),"9,908.89"
Weighted Cost (should be ~0),0.94
Weighted Investment Profit,"1,263,779.68"
Weighted Calculation Converged,Yes
