Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.25
Loan Term (months),360
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,527318.93
Extraction Timestamp,20250727_184521
Monthly Income,"12,000.00"
Total Investment Amount,"1,858,339.68"
Total Investment Final Value,"7,248,799.43"
Total Investment Profit After Tax,"3,044,520.89"
Effective Annual Return After Tax,4.12%
Weighted Monthly Payment (30 years),"7,999.23"
Weighted Cost (should be ~0),-0.94
Weighted Investment Profit,"1,461,659.38"
Weighted Calculation Converged,Yes
