Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.0
Loan Term (months),240
Inflation Rate (%),2.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,585234.19
Extraction Timestamp,20250727_173633
Monthly Income,"12,000.00"
Total Investment Amount,"1,037,733.99"
Total Investment Final Value,"2,162,007.43"
Total Investment Profit After Tax,"580,517.55"
Effective Annual Return After Tax,3.25%
Weighted Monthly Payment (30 years),"8,664.28"
Weighted Cost (should be ~0),-0.65
Weighted Investment Profit,"842,265.36"
Weighted Calculation Converged,Yes
