Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.5
Loan Term (months),240
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,599637.04
Extraction Timestamp,20250727_194109
Monthly Income,"12,000.00"
Total Investment Amount,"1,149,663.76"
Total Investment Final Value,"2,309,578.73"
Total Investment Profit After Tax,"596,155.74"
Effective Annual Return After Tax,3.08%
Weighted Monthly Payment (30 years),"8,294.46"
Weighted Cost (should be ~0),-0.10
Weighted Investment Profit,"730,336.13"
Weighted Calculation Converged,Yes
