Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.75
Loan Term (months),180
Inflation Rate (%),2.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,232485.83
Extraction Timestamp,20250727_193123
Monthly Income,"12,000.00"
Total Investment Amount,"741,865.86"
Total Investment Final Value,"1,311,416.83"
Total Investment Profit After Tax,"283,151.03"
Effective Annual Return After Tax,3.36%
Weighted Monthly Payment (30 years),"7,309.19"
Weighted Cost (should be ~0),-0.18
Weighted Investment Profit,"418,133.96"
Weighted Calculation Converged,Yes
