Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.5
Loan Term (months),288
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,288
Total Mortgage Interest,301041.67
Extraction Timestamp,20250727_193839
Monthly Income,"12,000.00"
Total Investment Amount,"2,154,958.33"
Total Investment Final Value,"5,390,655.56"
Total Investment Profit After Tax,"1,725,581.25"
Effective Annual Return After Tax,3.41%
Weighted Monthly Payment (30 years),"5,236.36"
Weighted Cost (should be ~0),-0.90
Weighted Investment Profit,"301,040.77"
Weighted Calculation Converged,Yes
