Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.0
Loan Term (months),120
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,120
Total Mortgage Interest,111710.32
Extraction Timestamp,20250728_235610
Monthly Income,"12,000.00"
Total Investment Amount,"216,765.23"
Total Investment Final Value,"334,879.30"
Total Investment Profit After Tax,"56,527.74"
Effective Annual Return After Tax,3.84%
Weighted Monthly Payment (30 years),"7,411.71"
Weighted Cost (should be ~0),0.13
Weighted Investment Profit,"223,234.89"
Weighted Calculation Converged,Yes
