Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),3.75
Loan Term (months),96
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,96
Total Mortgage Interest,155771.32
Extraction Timestamp,20250727_191100
Monthly Income,"12,000.00"
Total Investment Amount,"9,474.19"
Total Investment Final Value,"10,028.30"
Total Investment Profit After Tax,243.74
Effective Annual Return After Tax,0.61%
Weighted Monthly Payment (30 years),"8,082.31"
Weighted Cost (should be ~0),-0.35
Weighted Investment Profit,"197,275.40"
Weighted Calculation Converged,Yes
