Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.5
Loan Term (months),252
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,252
Total Mortgage Interest,509670.51
Extraction Timestamp,20250727_154954
Monthly Income,"12,000.00"
Total Investment Amount,"1,401,163.69"
Total Investment Final Value,"3,004,936.31"
Total Investment Profit After Tax,"833,206.24"
Effective Annual Return After Tax,3.22%
Weighted Monthly Payment (30 years),"7,438.62"
Weighted Cost (should be ~0),-0.91
Weighted Investment Profit,"622,835.40"
Weighted Calculation Converged,Yes
