Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.5
Loan Term (months),288
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,288
Total Mortgage Interest,712939.01
Extraction Timestamp,20250727_192412
Monthly Income,"12,000.00"
Total Investment Amount,"1,237,430.48"
Total Investment Final Value,"3,262,216.05"
Total Investment Profit After Tax,"1,086,231.69"
Effective Annual Return After Tax,3.61%
Weighted Monthly Payment (30 years),"9,283.32"
Weighted Cost (should be ~0),0.49
Weighted Investment Profit,"1,218,570.01"
Weighted Calculation Converged,Yes
